VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,duration_min,avg_speed_mph,tip_percentage,time_of_day
1,2019-01-01 00:50:32,2019-01-01 00:56:39,0,1.0,1,N,42,41,1,6.5,0.5,0.5,1.0,0.0,0.3,8.8,,,,,
1,2019-01-01 00:21:58,2019-01-01 00:30:33,0,1.0,1,N,264,264,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,,,,
1,2019-01-01 00:43:54,2019-01-01 00:55:45,0,1.6,1,N,264,264,1,9.0,0.5,0.5,2.55,0.0,0.3,12.85,,,,,
1,2019-01-01 00:56:36,2019-01-01 01:00:18,0,0.5,1,N,264,264,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,,,,,
2,2019-01-01 00:14:18,2019-01-01 00:40:55,1,4.13,1,N,170,238,4,-19.0,-0.5,-0.5,0.0,0.0,-0.3,-20.3,,,,,
2,2019-01-01 00:31:27,2019-01-01 00:42:39,1,1.35,1,N,162,234,4,-8.5,-0.5,-0.5,0.0,0.0,-0.3,-9.8,,,,,
2,2019-01-01 00:44:26,2019-01-01 00:44:33,1,0.0,1,N,234,234,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
2,2019-01-01 00:45:57,2019-01-01 00:46:07,1,0.0,1,N,234,234,4,-2.5,-0.5,-0.5,0.0,0.0,-0.3,-3.8,,,,,
2,2019-01-01 00:45:57,2019-01-01 00:46:07,1,0.0,1,N,234,234,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
2,2019-01-01 00:47:00,2019-01-01 00:47:11,1,0.0,1,N,234,234,1,2.5,0.5,0.5,6.0,0.0,0.3,9.8,,,,,
2,2019-01-01 00:48:35,2019-01-01 00:49:59,1,0.16,1,N,234,234,4,-3.0,-0.5,-0.5,0.0,0.0,-0.3,-4.3,,,,,
2,2019-01-01 00:28:59,2019-01-01 00:29:24,1,0.0,1,N,107,107,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
1,2019-01-01 00:17:06,2019-01-01 01:00:09,0,9.7,1,N,239,189,2,35.0,0.5,0.5,0.0,0.0,0.3,36.3,,,,,
1,2019-01-01 00:16:15,2019-01-01 00:56:54,0,2.9,1,N,107,48,1,24.0,0.5,0.5,6.3,0.0,0.3,31.6,,,,,
1,2019-01-01 00:14:13,2019-01-01 00:22:33,0,1.5,1,N,236,140,1,8.0,0.5,0.5,2.0,0.0,0.3,11.3,,,,,
1,2019-01-01 00:26:30,2019-01-01 00:50:28,0,7.5,1,N,262,243,1,25.0,0.5,0.5,6.55,0.0,0.3,32.85,,,,,
2,2019-01-01 00:58:21,2019-01-01 01:08:30,1,0.0,1,N,144,164,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,,,,
2,2019-01-01 00:32:45,2019-01-01 00:33:22,6,0.0,1,N,48,48,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,,,
